x	y	clickSelects
0.465389288984843	0.637134380139568	BAIAP2
0.458245343877245	0.680495041001376	CACNB4
0.474751371993182	0.63785288729624	DUSP5
0.48808451759528	0.648803636375126	ECM1
0.49186494035696	0.686506359816961	EFNB1
0.48381346026128	0.665016329662674	ENO2
0.452046114786932	0.688008448487696	EPHB4
0.490637670054022	0.626038702350869	FAM43A
0.486593445612656	0.622244701963656	FBXO44
0.46845714885518	0.563223347956535	GPR162
0.490462258135143	0.721936431928271	JAM3
0.475295429269021	0.642260055411655	LLGL2
0.473806438715011	0.589298606389894	MTA3
0.465520421179157	0.660740796333417	MXRA7
0.472125895009603	0.715572109651554	PYCR1
0.472177233957351	0.715916468398023	TPM2
