x	y	label	showSelected
0.5	0.5	ADAM9	ADAM9
0.5	0.5	ADAMTS10	ADAMTS10
0.5	0.5	ADAMTS13	ADAMTS13
0.5	0.5	ADAMTS14	ADAMTS14
0.5	0.5	ADAMTS17	ADAMTS17
0.5	0.5	ADAMTSL4	ADAMTSL4
0.5	0.5	ADAP1	ADAP1
0.5	0.5	ADAP2	ADAP2
0.5	0.5	ADAR	ADAR
0.5	0.5	ADARB1	ADARB1
0.5	0.5	ADAT1	ADAT1
0.5	0.5	ADAT2	ADAT2
0.5	0.5	ADAT3	ADAT3
0.5	0.5	ADC	ADC
0.5	0.5	ADCK1	ADCK1
0.5	0.5	ADCK2	ADCK2
0.5	0.5	ADCK4	ADCK4
0.5	0.5	ADCK5	ADCK5
0.5	0.5	ADCY3	ADCY3
0.5	0.5	ADCY4	ADCY4
0.5	0.5	ADCY6	ADCY6
0.5	0.5	ADCY7	ADCY7
0.5	0.5	ADCY9	ADCY9
0.5	0.5	ADD1	ADD1
0.5	0.5	ADD2	ADD2
0.5	0.5	ADD3	ADD3
0.5	0.5	ADH5	ADH5
0.5	0.5	ADHFE1	ADHFE1
0.5	0.5	ADI1	ADI1
0.5	0.5	ADIPOR1	ADIPOR1
0.5	0.5	ADIPOR2	ADIPOR2
0.5	0.5	ADK	ADK
0.5	0.5	ADNP	ADNP
0.5	0.5	ADNP2	ADNP2
0.5	0.5	ADO	ADO
0.5	0.5	ADORA2A	ADORA2A
0.5	0.5	ADORA2B	ADORA2B
0.5	0.5	ADORA3	ADORA3
0.5	0.5	ADPGK	ADPGK
0.5	0.5	ADPRH	ADPRH
0.5	0.5	ADPRHL2	ADPRHL2
0.5	0.5	ADRB2	ADRB2
0.5	0.5	ADRBK1	ADRBK1
0.5	0.5	ADRBK2	ADRBK2
0.5	0.5	ADRM1	ADRM1
0.5	0.5	ADSL	ADSL
0.5	0.5	ADSS	ADSS
0.5	0.5	AEBP1	AEBP1
0.5	0.5	AEBP2	AEBP2
0.5	0.5	AEN	AEN
0.5	0.5	AES	AES
0.5	0.5	AFAP1	AFAP1
0.5	0.5	AFF1	AFF1
0.5	0.5	AFF2	AFF2
0.5	0.5	AFF3	AFF3
0.5	0.5	AFF4	AFF4
0.5	0.5	AFG3L1	AFG3L1
0.5	0.5	AFG3L2	AFG3L2
0.5	0.5	AFMID	AFMID
0.5	0.5	AFTPH	AFTPH
0.5	0.5	AGA	AGA
0.5	0.5	AGAP1	AGAP1
0.5	0.5	AGAP2	AGAP2
0.5	0.5	AGAP3	AGAP3
0.5	0.5	AGAP4	AGAP4
0.5	0.5	AGAP5	AGAP5
0.5	0.5	AGAP6	AGAP6
0.5	0.5	AGAP7	AGAP7
0.5	0.5	AGAP8	AGAP8
0.5	0.5	AGBL5	AGBL5
0.5	0.5	AGER	AGER
0.5	0.5	AGFG1	AGFG1
0.5	0.5	AGFG2	AGFG2
0.5	0.5	AGGF1	AGGF1
0.5	0.5	AGK	AGK
0.5	0.5	AGL	AGL
0.5	0.5	AGMAT	AGMAT
0.5	0.5	AGPAT1	AGPAT1
0.5	0.5	AGPAT2	AGPAT2
0.5	0.5	AGPAT3	AGPAT3
0.5	0.5	AGPAT4	AGPAT4
0.5	0.5	AGPAT5	AGPAT5
0.5	0.5	AGPAT6	AGPAT6
0.5	0.5	AGPAT9	AGPAT9
0.5	0.5	AGPS	AGPS
0.5	0.5	AGRN	AGRN
0.5	0.5	AGTPBP1	AGTPBP1
0.5	0.5	AGTRAP	AGTRAP
0.5	0.5	AGXT2L2	AGXT2L2
0.5	0.5	AHCTF1	AHCTF1
0.5	0.5	AHCY	AHCY
0.5	0.5	AHCYL1	AHCYL1
0.5	0.5	AHCYL2	AHCYL2
0.5	0.5	AHDC1	AHDC1
0.5	0.5	AHI1	AHI1
0.5	0.5	AHNAK	AHNAK
0.5	0.5	AHNAK2	AHNAK2
0.5	0.5	AHR	AHR
0.5	0.5	AHSA1	AHSA1
0.5	0.5	AHSA2	AHSA2
0.5	0.5	AIDA	AIDA
0.5	0.5	AIF1	AIF1
0.5	0.5	AIFM1	AIFM1
0.5	0.5	AIFM2	AIFM2
0.5	0.5	AIG1	AIG1
0.5	0.5	AIM1	AIM1
0.5	0.5	AIMP1	AIMP1
0.5	0.5	AIMP2	AIMP2
0.5	0.5	AIP	AIP
0.5	0.5	AK1	AK1
0.5	0.5	AK2	AK2
0.5	0.5	AK3	AK3
