x	y	clickSelects
0.172617341770183	0.622690599056749	ADAM6
0.187639376462696	0.627912051702526	ADRBK1
0.182715369666932	0.624872934001099	ALDOA
0.169566155811048	0.60010002812988	APLP2
0.169201067632356	0.623186722063467	ARHGDIB
0.182559145220321	0.650441058372562	BAT1
0.182937336305396	0.662150335491	BAT2L2
0.176770844611894	0.665850972847128	CANX
0.189477720422269	0.664165778892696	CAT
0.172946033592558	0.650720174505691	CD44
0.167285627971595	0.745488671841093	CDK6
0.179845579067639	0.612037197106495	CFL1
0.18527271039127	0.660872575395296	CSDE1
0.165155971104398	0.648682170713937	DDX5
0.176266242564474	0.676831321575748	EEF1G
0.189159979379873	0.667659357553389	EIF3L
0.188021052559579	0.647888948716157	EIF4A1
0.164591536291669	0.656122972353885	EIF4G2
0.16238233313342	0.593652711367264	FOS
0.178913581496651	0.622912117206782	FOSB
0.162346532395088	0.585787628077115	FTL
0.181235913248211	0.651342911419495	GLUL
0.183143607198629	0.604583390897547	GNAI2
0.165753063558483	0.657789588874284	GNAS
0.19072334784285	0.650757532719828	H3F3B
0.189556988659135	0.618256475804451	HLA-A
0.160607716569305	0.592005584298079	HLA-B
0.171515823693156	0.657697931431119	HNRNPA2B1
0.185465733253037	0.657799363171525	HNRNPK
0.177289086096315	0.659188351336569	HNRNPU
0.183869442518964	0.651619489323339	HSP90B1
0.183567688379222	0.671052170611779	HUWE1
0.18407275436465	0.642231422581958	KLF6
0.181195548077139	0.670569244958599	LENG8
0.185767133120136	0.666946564760715	MLL2
0.186107814200156	0.674333786167869	NACA
0.175777519833231	0.683415323954332	NAP1L1
0.186243259279787	0.676397988292489	NCL
0.180320163668264	0.650357411997671	NCOA4
0.181077584189712	0.614767732727112	PFN1
0.185873941215218	0.593579949960001	PKM2
0.178076699318693	0.663669028345196	PRPF8
0.16735005019955	0.540565007069091	PSAP
0.167091412497428	0.664292092725263	PTMA
0.186316318303308	0.620909225236563	RHOA
0.179380037938701	0.666491725835914	RPL10
0.176057832337568	0.667502832776875	RPL11
0.182740991837619	0.671958243064761	RPL13
0.184828492941512	0.669361416220676	RPL13A
0.166394839165631	0.673053010650895	RPL15
0.17272733520842	0.657344429639472	RPL19
0.188892373525396	0.672869834487059	RPL30
0.179133955971318	0.673962048692576	RPL32
0.180573316879895	0.670137528104359	RPL7A
0.169756952406763	0.655606558275882	RPLP1
0.17679223740811	0.666114604392689	RPS11
0.162558991028141	0.678587149458472	RPS18
0.175956671563968	0.673383641486179	RPS2
0.180036972688855	0.669821792095965	RPS20
0.170387061848249	0.680873942537343	RPS23
0.166461379348407	0.675113170448364	RPS24
0.190581786174012	0.682183617512259	RPS5
0.165814209051341	0.669580151636229	RPS8
0.179309824226782	0.690120539780344	RUNX1
0.176687214601618	0.668125088211374	SF3B1
0.164318487970407	0.657746749204615	SON
0.177749990163611	0.698095247014837	SPN
0.185171611790599	0.637867005718095	TGOLN2
0.162928520330186	0.609478817945703	TLN1
0.181695649365364	0.631471126542095	TMBIM6
0.173198947467883	0.589521310632309	TMSL3
0.177160680077735	0.630554728385008	TPM3
0.175495616982557	0.604281398935091	TPP1
0.174729067382558	0.623030387683314	TXNIP
0.16783805721127	0.61828865891271	UBC
0.172728759220466	0.66035216623742	ZFP36L2
