x	y	clickSelects
0.247460157606936	0.642858611829121	AES
0.240288093566349	0.691795674089577	APEX1
0.262358049163093	0.660998576444305	ATP5G2
0.254801959522789	0.698904483085589	C5orf13
0.25445940887832	0.656012931959146	EEF1D
0.26196379700228	0.644739023823512	EIF5A
0.254072748262701	0.651434672568901	FAU
0.249104915162689	0.6633053988636	FUS
0.246332500654165	0.673559977284738	GLTSCR2
0.261458672551111	0.696294269105962	HINT1
0.250142634368196	0.668612933870414	HMGA1
0.248872066302584	0.679744913142043	HMGN1
0.248577390101108	0.655053396301097	HNRNPM
0.252039844826567	0.69522484060225	IMPDH2
0.248123004216389	0.644452607080953	JUND
0.250862695736611	0.660050684183049	LASS2
0.253878234915631	0.650279429471379	MAPKAPK3
0.260501757166096	0.677001889877352	MCM7
0.250433214248655	0.66922491962894	PA2G4
0.253542867554468	0.647212697689184	PABPC4
0.248297182532011	0.662262222433594	PABPN1
0.249756329538404	0.64772383619294	PPIA
0.254196807957309	0.62295436120174	PPP1R15A
0.246209001757903	0.655987071290533	QARS
0.242404414311994	0.673086362358413	RPL23A
0.249651819212059	0.666612388368669	RPL35
0.237473203654329	0.676838981504579	RPL35A
0.23680487001882	0.667026968512669	RPL38
0.251512639203064	0.658893224909877	RPS10
0.266199078213991	0.65966687451414	RPS15
0.258234478314075	0.672663419166666	RPS21
0.250144666091097	0.669351064727205	RPS29
0.237535317850882	0.670924912909141	RPS7
0.242809485238237	0.642665901501707	SLC25A5
0.249948154737749	0.655257890132331	SND1
0.252159639307989	0.753350902547255	SOX4
0.259950098149888	0.643377972002948	SSR2
