x	y	clickSelects
0.479635938117649	0.712961594636558	AP4S1
0.476223650877824	0.688335841145232	AUH
0.471744750488735	0.687998231643789	BBS9
0.461187943174016	0.759292339349964	C1QTNF3
0.480397856523783	0.79523920454333	C6orf170
0.488862904172718	0.740158742074036	C9orf30
0.480087055197213	0.83477567871656	C9orf93
0.460135150916825	0.698761102590217	CCDC146
0.488599856548164	0.751795885630341	DNAJC18
0.454737782951016	0.68265295853453	DTNB
0.477597147315401	0.726564340467117	EPB41L4A
0.477567930074895	0.739896633637416	FAM119B
0.463392477502733	0.758347621938601	FUT10
0.466854138151574	0.708455682525482	GATS
0.473192085296181	0.734780882551728	GUSBL1
0.464507304096166	0.697915538539155	IFT88
0.46324923622263	0.717399585727122	KIAA1328
0.47214026159744	0.73203171185304	KIF27
0.480291173538337	0.721323892969448	KIF3A
0.48265619552763	0.720106612102094	KLHDC1
0.470599790184761	0.697619506027115	KLHL11
0.480899649865644	0.733478991308025	KPNA5
0.471413035592743	0.65676587162154	LCORL
0.487409733918511	0.71824347405659	LMO7
0.461806128008384	0.743951795404566	LOC100128288
0.47949827082066	0.706217750729467	LOC100131434
0.460542890040022	0.755288886605216	LRRC70
0.463415376009932	0.682721656072331	MCM9
0.485108442196968	0.830347699971373	MLLT11
0.457104309124166	0.710020253371622	MTMR7
0.47562702065033	0.712149551566621	NKIRAS1
0.472458964418547	0.745058384056931	NME7
0.469874503771108	0.69948116343726	PIGL
0.484971545134609	0.683886112020371	PLCXD2
0.463474696514217	0.765405339170899	PMS2L2
0.481127377960648	0.779899866995584	PTPLA
0.475389661706318	0.704323909260232	RFX3
0.476760223146354	0.690163577794549	RGPD4
0.477310999094673	0.706689446358556	RRN3P1
0.480560416957032	0.681363376593852	SLC19A2
0.481601095323455	0.704457068595909	SOCS7
0.490463022536498	0.765866830098811	STXBP4
0.468093824020235	0.72816224987493	SUPT3H
0.466751451328763	0.736267271701829	TASP1
0.482179599426442	0.751816571535106	TCTN2
0.468377312749592	0.678253342910642	TRIM23
0.464598604611557	0.7197783538948	ULK4
0.464150446001593	0.719079534091388	ZBTB20
0.474270796528514	0.78355941463125	ZC3HAV1L
0.470365932590527	0.732299481706363	ZC4H2
0.470282077479915	0.732795938138785	ZFP28
0.466195772523036	0.710082486179177	ZNF235
0.456677041169542	0.737082150579659	ZNF345
0.469695753873653	0.70305215654612	ZNF432
0.46337100121821	0.733320571078973	ZNF433
0.477896224987534	0.734433016510727	ZNF461
0.489184820845574	0.728368998243317	ZNF519
0.490138930926891	0.707303242655783	ZNF669
0.483406350190428	0.72163728834103	ZNF773
