x	y	clickSelects
0.408772159622055	0.667871520488719	ACACB
0.4180930004065	0.649178328535706	ACAT2
0.427884072828542	0.650095899200861	ACOX3
0.412786663234929	0.641873873770814	ANO10
0.428030364846644	0.659254746850274	APTX
0.412409798290019	0.640006586037459	B4GALT4
0.428727158314825	0.620089919528689	C15orf57
0.422670328315251	0.637287329607108	C5
0.428979703552103	0.63939130912743	C9orf156
0.408631226395998	0.644455518416447	CASP7
0.419959779644715	0.667197548658179	CHEK2
0.414426375584735	0.638184511453368	CLN5
0.41517890563264	0.654064812093509	DHX35
0.418930930261745	0.64671418567193	DTNBP1
0.426246345978168	0.646629620508633	EIF2B3
0.415158757559053	0.616366042773087	ELMOD3
0.420278406202621	0.586579575430887	ERN1
0.415255490810016	0.670285344848469	EXOG
0.430023197304234	0.615898682304139	GLUD2
0.437453257835008	0.674585304551883	GNB5
0.429787718851609	0.663304680871979	GOT1
0.417667653236745	0.656479626143585	GPATCH1
0.411224966766262	0.669814948501084	HACL1
0.42565126852484	0.672326877710367	HDAC8
0.417167864399707	0.678594379680584	HSF2
0.413808715951633	0.598467567600737	HSPBAP1
0.407079044054874	0.646617611082343	IFT57
0.424113383306423	0.647968759446813	INPP5A
0.425412236635763	0.651895888511284	INTS12
0.406552327144368	0.631223581323534	L3MBTL3
0.432559096211354	0.644223055166022	LANCL2
0.421781746575136	0.677079247936894	LOC147804
0.42168351645186	0.649958344118278	MED6
0.419856298926789	0.61458112781403	MED8
0.421973531750949	0.60457770082444	MR1
0.426904199746096	0.66223403545058	NGDN
0.423644764174944	0.640950271837961	NHEJ1
0.417735350565372	0.647294112367167	NIF3L1
0.423299415036995	0.630675739184212	NT5DC1
0.421452402232585	0.676802763546661	PARP2
0.427528835694616	0.640599332682055	PIGA
0.419447001196243	0.673096690098354	POC5
0.426060241007576	0.621046936555426	POP4
0.417615568670342	0.631021018927261	PSMC1
0.410582817262236	0.616423948920264	PURA
0.420026709350447	0.639833819550318	RARS2
0.430325201107829	0.62380396700762	RGS12
0.417711211700601	0.644374382044574	RHBDD1
0.419166126711592	0.657334062335808	RNF8
0.418946559415536	0.63131852283114	SEC22C
0.412742915835679	0.634482067174938	STX18
0.426557812177205	0.677316466734745	TBC1D7
0.418937175720205	0.662647654470386	TBCE
0.425350013050137	0.63239806880865	TESK2
0.427842455902207	0.674831129568682	THUMPD2
0.411471218808735	0.608772185550569	TMCO7
0.430743269047859	0.640116600444301	TRIM39
0.431001540737412	0.659357797526471	TRIT1
0.419735947179692	0.635947004737472	TRNAU1AP
0.403762655254752	0.600687703406428	TTC13
0.412056292590756	0.694995098288309	UAP1
0.421856155168396	0.635397974267382	VPS33B
0.407683490175789	0.612672493828058	YIPF1
0.41104318112122	0.613545947194823	ZNF143
0.418907486956912	0.673262384786003	ZNF211
0.433814597933587	0.663719249495612	ZNF32
0.416509044572567	0.674833921119208	ZNF434
0.420075234432706	0.678577648947395	ZNF473
0.419518521519555	0.637954965770365	ZNF622
0.429887734202531	0.606961734803733	ZRSR2
0.432333777943021	0.660345962523523	ZUFSP
