x	y	clickSelects
0.333516440226799	0.403858335599739	APOBEC3C
0.328248727271047	0.414967847327987	ARHGAP26
0.334239674863969	0.423325311589713	ATG3
0.326679589630612	0.437751714971314	ATP6V0D1
0.338108868940805	0.384343756025553	C10orf76
0.339888103997806	0.405583685719176	C16orf57
0.331535178259983	0.382216947099909	C16orf62
0.339582421664584	0.402136382494032	CHMP4B
0.331907628192468	0.381801289924275	COL4A3BP
0.338579763069381	0.422374527422023	CPEB4
0.329753356465335	0.413784734129521	CPPED1
0.337059399105596	0.39331082801842	EAF1
0.34114632309428	0.390381174286356	EIF4E2
0.331590968162545	0.415640009833345	EML4
0.341091548949918	0.385448710463076	ERO1L
0.333986115298584	0.392544584366537	EVI2A
0.336165807988232	0.408468348845169	GCA
0.345879062169042	0.447521950477769	HEXB
0.33894102974043	0.393975635009457	IDH3A
0.342086163873427	0.401297422317797	IDI1
0.346728015531089	0.423628921757462	IFNGR2
0.328877857166869	0.404996317413489	IL10RB
0.335996222010447	0.419581408226518	ITPK1
0.338648692362622	0.429029532340118	KIF1B
0.331796028860747	0.426366649431705	LAP3
0.333956488974632	0.419206269931002	LPCAT1
0.33420198247365	0.39214109211031	LPCAT3
0.33915926506339	0.377727589486908	LPXN
0.336588126840388	0.386889198447485	LRMP
0.335390955197749	0.417297909326335	MBD2
0.344400518395885	0.400441495092943	MLX
0.335327194592426	0.400353122829577	MTF1
0.337229968249657	0.413941725501386	MTMR14
0.32303555998142	0.445112715227265	NADK
0.330203213856051	0.398089147479932	NECAP2
0.330384905932941	0.432347630130348	NPC2
0.347061965878551	0.39204222977265	OAZ2
0.33499188522413	0.419109005076127	PCGF5
0.334984356721125	0.442521968240888	PIK3R5
0.32681437227342	0.429609034003209	PLEKHO2
0.339940762810898	0.386225365083346	PPP1R11
0.330029214606794	0.414943455299773	PRNP
0.345292648169923	0.419931908598203	PSME2
0.328195643799773	0.409085832900765	PSTPIP2
0.336874001025187	0.378574339303927	PTPN2
0.324416662408616	0.398509494399105	RALB
0.341899374209785	0.391426220538675	RAP2B
0.334923917312491	0.434912293070284	RGS19
0.34904571741007	0.396584108621917	RNF13
0.349410548711974	0.395411089456348	RNF141
0.324706303815902	0.394976531977555	RNF149
0.326497431775798	0.404936208379071	RNPEP
0.336710731642877	0.390927464442993	RP2
0.333512665071333	0.404132994443322	SARS
0.331569339534057	0.460939319036061	SIDT2
0.330897474840301	0.399578689667079	SNX6
0.339513193424825	0.419677594576896	SP110
0.333898971361458	0.403462800879586	TADA3
0.341473696250741	0.391295259400406	TINF2
0.325926505316772	0.393700342695038	TMEM170B
0.340509830033025	0.395502489718846	TRAF3IP3
0.337284784280699	0.39438465080834	TWF2
0.34425329201969	0.43104983645787	USP3
0.329828716668015	0.390654566574981	VAMP3
0.34284902521992	0.391970673092231	YPEL2
0.343526311954828	0.394891800895185	ZCCHC2
0.324344570093919	0.409364420518693	ZDHHC7
0.328177548992403	0.424383422204839	ZNF318
